Title,Location,Company,Salary,Sponsored,Description,
Full Stack Developers,"Bengaluru, Karnataka",Terralogic Vietnam,None,Organic,"Full Stack Developers
Location :BANGALORE
Overview:
Angular JS or React JS with exposure or willingness to learn fullstack
Total Experience:
3+ Years of Experience.
Job Skills:
Angular JS or React JS with exposure or willingness to learn full-stack
Benefits
Paid Medical, Vision and Dental insurance.
401k with up to 5% company matching
Personal Training and Development Budget
Citibike and Zipcar memberships
Paid parental leave
Flexible work hours",
Python django full stack developer,"Bengaluru, Karnataka",Pion Global Solutions Ltd,None,Organic,"Basic knowledge of Python, HTML, DJANGO, PostgreSql, other front end technologies
Job Types: Full-time, Internship
Experience:
software development: 1 year (Preferred)
total work: 1 year (Preferred)
Java: 1 year (Preferred)
Education:
Bachelor's (Required)
Benefits:
Provident fund (PF)
Paid leaves / Leave encashment
Meal card / Food coupons
Work from home
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19",
Full Stack Application Developer,"Bengaluru, Karnataka",IBM,None,Organic,"Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
IBM believes in progress — that the application of intelligence, reason and science can improve business, society and the human condition. We strive to put the client first, share expertise, and restlessly reinvent to build innovative solutions for our customers. We embrace diversity and value what individuals add to our culture. Our global teams solution complex problems through teamwork, invention, and iteration to create original ideas that drive technology and society forward.

As a Full Stack Developer, you will be integral to the process of invention and innovation. You will
develop exciting solutions that change the way both IBMers and IBM clients work. You'll work in a collaborative, welcoming environment where new ideas drive technological transformation. We work in small, cross-functional teams with big goals, so you will need to be adaptive and adept at clear communication. We strive to produce scalable solutions, and you will need to be familiar with how an automated framework helps drive them.



Required Technical and Professional Expertise
Above all, we value curiosity, teamwork, and a desire to learn. We are confident that if you possess the right attitude, work ethic, and skill set that you could succeed in the role, even if you do not meet every one of the requirements.
Meaningful development experience in modern web frameworks
Excellent object oriented programming skills
Experience building restful APIs and Web services
Experience working with relational databases
Comfortable multi-tasking and working as part of a global team, as well as working independently and taking ownership
Adaptive to ambiguity and willing to change in a fast paced environment

Preferred Technical and Professional Expertise
Experience with cloud-hosting solutions and CI/CD pipeline tools

About Business Unit
We at IBM Chief Information Office (CIO) are a dynamic group of Business, Strategy and Technology professionals - a specific source of market-leading Industry Consulting, Application and Business process delivery following Agile values and principles. CIO is at the forefront of Digital Reinvention of key applications used within IBM providing value-led and asset-powered end to end solutions.

CIO mission is to create a productive environment for everyone at IBM. We do this by leading with Design to drive simplicity and ease of use, Engineering the systems that run the business, and Innovating to transform the business. Key focus areas are to secure the Enterprise in network security, endpoint security and data security
Transform IBM and improve collaboration and practice a culture of agile way of working.

Within the CIO, we represent the Analytic Solutions area of the Sales & Marketing Systems. Our mission is to provide business insights to our partners in sales and marketing to win in the market place through analytics solutions delivered using latest technology and based on real time, consolidated and cloud-based data.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",
Full Stack Developer(Python/Angular),"Pune, Maharashtra",3RI TECHNOLOGIES,None,Organic,"Position : Full Stack Developer(Python/Angular)
Experience : (0-2 yrs)
Location : Pune

Responsibilities
Design client-side and server-side architecture
Build the front-end of applications through appealing visual design and backend API integrations
Develop and manage well-functioning databases and applications
Write effective and scalable backend APIs
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Create security and data protection settings
Build features and applications with a mobile responsive design
Write technical documentation
Requirements
Proven experience as a Full Stack Developer or similar role
Experience developing desktop, web and mobile applications
Familiarity with common stacks
Good proven knowledge of Python / Django is a must.
Knowledge of Django Rest Framework is a must.
Good proven knowledge of Angular 6+ is a must.
Excellent knowledge of basic front-end technologies like HTML / CSS / SCSS / Bootstrap / Javacript / jQuery, etc is a must
Knowledge of Ionic 3+ framework is a big plus.
Good knowledge of any of the cloud platforms such as AWS, Azure, Heroku is necessary.
Excellent communication and teamwork skills
Great attention to detail
Organisational skills
An analytical mind
Willing to work in a startup environment is important
Degree in Computer Science, Statistics or relevant field",
Full Stack Web Developer,"Gurgaon, Haryana",Gesture Research Pvt. Ltd.,"₹2,50,000 - ₹6,00,000 a year",Organic,"Functional Area Engineering
Industry Type IT-Software-Software Services
Keywords Web Development,Computer Science,Engineering
We are looking for a Full Stack Web Developer with experience in building high-performing, scalable, enterprise-grade applications. You will the responsible for web application development while providing expertise in the full software development lifecycle, from concept to design to testing.

RESPONSIBILITIES

Build a high-quality web application from scratch.
Responsive and adaptive web page implementation.
Identify and communicate best practices for front-end engineering.
Design, build and maintain efficient, reusable, and reliable code to ensure the best possible performance, quality, and responsiveness of the applications.
Implement automated testing platforms and unit tests.
Desired Candidate Profile
Profile Description
DESIRED SKILLS

Excellent working knowledge of PHP based MVC frameworks like Laravel.
Good understanding of Database concepts and working knowledge of MySQL.
Good knowledge of HTML, CSS & Javascript.
A clear understanding of RESTful API development standards.
Excellent problem-solving skills.
Working knowledge of AngularJS
Experience with managing Linux servers & AWS/GCP
Under Graduate Qualification BCA / BCM (Any Specialization) BE / B.Tech (Any Specialization)
Note:Candidate should have a UG qualification",
Full Stack Developer,"Bengaluru, Karnataka",Omniview Platforms & Solutions Pvt Ltd,"₹3,00,000 - ₹6,00,000 a year",Organic,"About Omniview Labs
Founded by IIM Calcutta & NIT Warangal alumnus, Omniview Labs is a young &fast growing tech start up in the home décor space. It aims to bridge the gap between the customer and the product through innovative use of technologies such as Augmented Reality/Virtual Reality. We count leading retailers in Bangalore, Coimbatore, Delhi & Hyderabad as our top clients and are looking to expand to other geographies soon.
Job Title
Full Stack Developer
Job Location
Bangalore
Job Description
We are in the process of building our in-house tech team and are looking to hire young and enthusiastic candidates with the right attitude and skill-set. You will get an opportunity to work with a variety of technologies and frameworks and design/build application ecosystems from the scratch.
Skills
1. Advanced understanding of front-end technologies and platforms, such as JavaScript, HTML5, and CSS3 (experienced writing modular, object-oriented Javascript) .
2. Hands on experience with PHP/MySQL
3. Proficient understanding of code versioning tools, such as Git, BitBucket etc
4. Third party API Integration knowledge(Payment gate way,SMS gateway etc)
5. Experience in android mobile app development would be advantageous
6. Self-Starter with a willingness to learn and experiment
Education: Bachelor’s degree in Computer Science and/or related field from a Reputed College
Experience: 2+ Years is desired, but not a hard constraint for the right candidate
At Omniview labs, you can expect a great work environment with an opportunity to be part of a growing company. The focus will be to provide a productive work atmosphere where you will have numerous opportunities to learn. For more log-on to omniviewlabs.com
Job Type: Full-time
Salary: ₹300,000.00 to ₹600,000.00 /year
Education:
Bachelor's (Required)
Work Remotely:
Yes",
MERN Stack Developer,"Mohali, Punjab",Walkwel Technology P. Ltd.,None,Organic,"Walkwel Technology P. Ltd. is hiring MERN Stack Developer with minimum 2 years of experience.
Location- Mohali (currently Work from home available due to COVID-19)
WHAT WE ARE LOOKING FOR:
Experience in working with MERN Stack.
Minimum 2yr experience in at least one modern JavaScript frameworks (Angular2+/React,)
Hands on Build and manage NodeJS APIs and services.
Clean and Strong coding skills, Data Structures and Algorithms.
Responsible for development of the product from scratch.
Experience in Typescript.
Experience in creating server less applications using firebase or AWS
Good Knowledge in building highly scalable Web/Mobile applications.
Familiarity of Ionic Framework and ReactNative.
Strong experience with the version controls GIT, GITHUB, Bit Bucket, and Package manager NPM, Bower.
Duties & Responsibilities:
Develop user interfaces with the latest frontend technologies
Research, analyze, and develop product features of increasingly complex nature
Make design and technical decisions for Front End projects.
Develop application code and unit testing.
Code must be of high accuracy, efficiency and scalability.
The ability to produce bug-free code.
Job Type: Full-time
Work Remotely:
Yes",
Mean Stack Developer,"Noida, Uttar Pradesh",Invictus DigiSoft,None,Organic,"Experience: 2-5 Years
Vacancy: 02
Job Description
We're looking for Mean Stack Developer. Someone who has expertise in the software development lifecycle with proven examples of process improvement
Some of the key responsibilities will include
Expertise in the software development lifecycle with proven examples of process improvement
Object Oriented Programming concepts
Expertise in Fullstack: Angular 2/4/5, Node, Express, MongoDB, (PHP would be a plus)
Web-Services Integration and JSON/SOAP Data Parsing
Experience in tools like Jira, Bitbucket/GitHub
Strong problem solving and the ability to partner with business and technologists across the
Technical qualifications
MEAN Stack (Mongo, Express, Angular 2/4/5, node) 1-2yrs
REST Architecture & Implementing the RESTful APIs / Soap API & Webservices
Strong DB concepts, MySQL, Mongo DB
Agile-SCRUM methodology
What we want
Should be a B.Tech/M.Tech/MS - Computer Science. Preferably from Premier institutions, but no bar for talented coders.
Ability to understand the complexities & build large-scale enterprise solutions.
Come with a positive attitude, great drive & vigor.
Education
Bachelors/Masters in Computer Science Preferably from Premier institutions, but no bar for talented coders.
Place of Work : Noida, UP
Industry : Education/ IT-Software/ Software Services
Functional Area : IT Software - Application Programming, Maintenance
Role Categories : Mean Stack Developer
Employment Type : Permanent Job, Full-Time
Contact Details: Devesh Raj
Contact Number : +91 88269 20803
Email ID : hello@invictusdigisoft.com",
Full Stack Developer,"Panaji, Goa",Numadic IOT Pvt Ltd,None,Organic,"Numadic is hiring a Full Stack Developer to join our team in undisrupting logistics
We are looking for a Full Stack Developer with a track record of building performant web applications and platforms.
*
Numadic delivers mobility infrastructure and applications for enterprise customers.
We work with companies in the automotive, insurance, banking, energy, tolling and telematics industries. Our team is nomadic and we run entirely remotely. You’re free to join us in Goa or anywhere you’d like. We are built up of humility and hard work and we hire full-stack humans.
Full Stack Developer job responsibilities
Coordinate with development teams,analysts and product managers to ideate software solutions.
Meet both technical and consumer needs.
Design client-side and server-side architecture that can scale to thousands of end users.
Develop and manage well-functioning servers, databases and applications.
Ensure cross-platform optimisation and responsiveness of applications.
Diagnose and fix bugs and performance bottlenecks.
Document code and write automated tests to ensure the product is of the highest quality
Create security and data protection processes.
Design and develop secure APIs.
Monitor & optimise application performance
Staying abreast of developments in web applications and programming languages.
Ability to quickly adapt and migrate code to most current technologies.
Full Stack Developer required skills
3+ years of proven experience working as a Full Stack Developer
5+ years of enterprise software development experience
Experience developing desktop, mobile and web applications
Proficiency with multiple front-end languages and frameworks (e.g. HTML, CSS, JavaScript, React, React Native, Kotlin, Swift, jQuery)
Knowledge of multiple back-end languages, specifically JavaScript frameworks (Node JS, Python)
Knowledge of AWS, Firebase, GIT and Jenkins.
Expertise in algorithms, data structures, JSON manipulation/ parsing, XML, caching and logging frameworks.
Hands on experience with databases (e.g. Postgres, MongoDB), web servers (e.g. Apache, NGINX) and UI/UX design implementation.
Full Stack Developers at Numadic operate near autonomously with a significant amount of trust placed in you and your ability to grow the company from the inside.
Once our team aligns on a project vision, implementation constraints and success criteria, the truck is in your hands. Your unique experiences and learnings play a huge role in shaping the way our company works and the direction we head.
To power through the Full Stack Developer role, you will need self-discipline, a flexible mind, and extreme self-motivation and:
Strong organisational and project management skills
An analytical mind with good problem solving skills and attention to detail.
Excellent communication and teamwork skills
Degree in Computer Science, Statistics or relevant field
What’s in it for you?
Work in a high-trust, high-transparency environment, that will literally change the way you engage with people in your professional and personal life.
Do massive scale, meaningful work that transform the workdays and lives of people.
Join us in Goa or remotely from anywhere across the world
*
Job Type: Full-time
Work Remotely:
Yes",
MEAN Stack Developer,"Chennai, Tamil Nadu",Tripower Technologies,None,Organic,"We are looking for hiring few developers to get started right away in building a video solution using open source. Please apply if you're proficient with Jitsi or any other opensource video conferencing solution or familiar with MEAN stack.
Only serious candidates apply.
Job Types: Full-time, Part-time, Temporary, Internship, Contract, Fresher, ...
COVID-19 considerations:
We have taken extra precautionary measures to address Covid-19 situation. You're allowed to work from home.
Experience:
Web Development: 1 year (Preferred)
software development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Diploma (Preferred)
Benefits:
Health insurance
Paid leaves / Leave encashment
Meal card / Food coupons
Work from home
Flexible work hours
Selection rounds:
Technical Interview
Industry:
Software Development
Work Remotely:
Yes",
Full Stack Developer,"Bengaluru, Karnataka",Incube Hub,None,Organic,"We are looking for Mid-Level Full Stack Developer.
Experience Level: 3-5 years of Full Stack Development experience
Job Requirement:
Admin Understanding of Unix (Linux)
Database Admin experience with PostGreSQL
Experience with REDIS for enhanced Database performance
Hands on experience with Microservices/Docker containers and Docker Hub(Repo)
Experience with API management framework such as APIUmbrella or NGINX
Troubleshooting Expertise
Excellent Communication Skills
Working knowledge of GitHub
Working knowledge of Cloud based compute and storage resources such as Digital Ocean, AWS or BlueHost
Familiarity with IT Recruitment process and terminology (plus)
Job Type: Full-time
Experience:
Full Stack Development: 2 years (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19",
Full stack Developer,"Mumbai, Maharashtra","JPMorgan Chase Bank, N.A.",None,Organic,"As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.
This role requires a wide variety of strengths and capabilities, including:
BS/BA degree or equivalent experience
Advanced knowledge of application, data, and infrastructure architecture disciplines
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Knowledge of industry-wide technology trends and best practices
Ability to work in large, collaborative teams to achieve organizational goals
Passionate about building an innovative culture
Proficiency in one or more modern programming languages
Understanding of software skills such as business analysis, development, maintenance, and software improvement
Experience working in large Data Warehousing project.
Knowledge of Data Modeling and reporting is a plus.
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",
Full Stack Developer III,"Bengaluru, Karnataka",Walmart,None,Organic,"We are Walmart
We help people around the world save money and live better - anytime and anywhere - in retail stores, online and through their mobile devices. Each week, more than 220 million customers and members visit our 11,096 stores under 69 banners in 27 countries and e-commerce websites in 10 countries. With last fiscal revenues of approximately $473 billion, we employ 2.2 million employees worldwide.
@ Walmart Labs in Bangalore, we enable an ecosystem, wherein our customers can “save money so they can live better”, by using technology for the charter of building brand new platforms and services on latest technology stack to support both our e-commerce and stores businesses worldwide
Your Team
Global Back Office Solutions @WalmartLabs Bangalore in India is focused on deploying Enterprise solutions across all our global business markets. The team delivers solutions across various domains like Finance, People, Real Estate, Indirect Spend Management, Manufacturing and Retail.
The charter for the Global Back Office Solutions team is to deliver on the goal of Everyday Low Cost (EDLC) by driving efficiency in all the back office processes, through technology. Combining Technologists with Business Analysts and data experts, we build and deploy solutions that support billions of transactions every month.
Your Responsibility
As a software engineer you will own and develop feature sets that involve Responsive UIs and Restful Services and ensure a seamless online shopping experience
Develop interactive, user-friendly applications using the latest frameworks which are open source and proprietary
Contribute reusable components to the Walmart UI Development community
Develop Responsive UIs leveraging Walmart’s and Open source state of the art frameworks
Help the team leverage and contribute to open source technologies
Contribute to code review and mentoring initiatives
Make impact on a global scale
Your Qualifications
Bachelor’s degree in computer science or related discipline with 3-6 years of experience
Excellent proficiency in front-end technologies (JavaScript/HTML/CSS/Redux, React JS/Native/ NodeJS /Nginx, and related frameworks)
Extensive experience building web applications using MVC frameworks for SOA like applications.
Experience in Azure development and Mobile ,Responsive UIs is a plus
Solid fundamentals in Data structures and Algorithms
Excellent debugging and problem solving capability
Motivated team player who goes over and above what is asked
Attitude to thrive in a fun, fast-paced start-up like environment

Our Ideal Candidate
You have a deep interest and passion for technology. You love owning new responsibilities and enjoy working with people who will keep challenging you at every stage. You have strong problem solving, analytic, decision-making and excellent communication with interpersonal skills. You are self-driven and motivated with entrepreneurial passion and desire to work in a fast-paced, results-driven agile environment with varied responsibilities. You have a passion to mentor and drive technical associates to deliver quality products in an agile environment. You have a flair to setup new process and bring in a innovative mindset to drive the team",
Frontend Developer | Full Stack Developer,"Navi Mumbai, Maharashtra",TaskPro Services,"₹25,000 - ₹80,000 a month",Organic,"We need a dynamic Frontend (or Full Stack) Developer who can work standalone in a fast moving startup environment. Our esteemed client is one of the pioneers in PWAs in Europe and is vouched to be the unicorn for the PWA platform!
The type of developer we’re looking for is primarily a frontend developer with expertise in React and Redux.
Some of the must have technologies:
React
Redux
Webpack
Firebase
Some of the nice to haves are:
Experience with front end styled components
Async programming skills and experience
Functional programming skills and experience
Experience working with Stripe and PayPal integrations.
Full stack developers are also welcome!
You must be comfortable making HTTP requests, building Progressive Web Apps and Web Applications all in javascript. Any other technological know how will be a plus.
Please note: We work in a fast-paced startup ""international"" working environment and you must have a ""can do"" attitude to survive and grow with us. Apply only if you can take the pressure and keep smiling with our super dynamic and fun loving team!
Job Type: Full-time
Salary: ₹25,000.00 to ₹80,000.00 /month
Experience:
software development: 1 year (Preferred)
Webpack: 1 year (Preferred)
React: 1 year (Preferred)
Java: 1 year (Preferred)
Redux: 1 year (Preferred)
Firebase: 1 year (Preferred)
Angular / Node JS: 1 year (Preferred)
Education:
Higher Secondary(12th Pass) (Preferred)
Language:
English (Required)
Shifts:
Morning (Required)
Evening (Required)",
Full Stack Developer,"Indore, Madhya Pradesh",Mindcrew Technologies Pvt Ltd.,None,Organic,"Job Summary
- Experience with Node.js/Java/Golang and frameworks like Express, Spring Boot, Revel, etc.,
- Experience with Design and implementation of RESTFul services with above technologies.
- User authentication and authorisation between multiple systems, servers, and environments
- Strong working knowledge of CSS & UI/UX
- Working knowledge of caching Databases (like Memcache/Redis)
- Experience with RESTful APIs
- Experience with build scripts and tools like Bower, Grunt, and Gulp
- Experience building data-driven web applications
- Strong understanding of HTTP protocol including WebSockets
- Data migration, transformation, and scripting
- Able to integrate multiple data sources and databases into one system
- Expertise of Postgres including newer data types
- Knowledge of MongoDB.
- Expertise of frontend technologies including HTML5, CSS3, and JavaScript
- Expertise with one frontend framework like Angular or React+Redux
Responsibilities and Duties
- Participate in the full software development life cycle
- Own the delivery of an entire piece of a system or application, and lead on small to midsize complex projects
- Ability to handle multiple competing priorities in a fast-paced environment
- Great understanding of software development in a team, and a track record of shipping software on time
- Writing reusable, testable, and efficient code
- Driving the team to achieve the deliverable s with quality
- Effective communication with stakeholders (product owner and anyone else involved)
Key Skills
Proficient understanding of Git and related services like GitHub, Gitlab, etc.
Required Experience and Qualifications
6 months - 3 years of experience is required in IT software development.
Benefits
Healthy Atmosphere
Onsite Travelling exposure
Tea Breaks from company's side
PF and ESIC benefits
Job Type: Full-time
Experience:
software development: 1 year (Preferred)
total work: 1 year (Preferred)
Java: 1 year (Preferred)
Angular / Node JS: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",
Full Stack Developer,"Bengaluru, Karnataka",DocsApp,None,Organic,"Job Description - Full Stack Developer
About DocsApp
Our Mission
Making quality healthcare easily accessible to over a billion people!
Who We Are?
DocsApp is India's #1 ISO Certified Medical App that lets you Consult Specialist Doctors 24x7
over Chat and Call within 30 minutes! Ours is an integrated platform for online consultation,
ordering medicines & booking lab tests. With over 10 Million+ Indian users, 8000+ Doctors,
funding & support from Bessemer venture partners, Rebright partners and other investors,
DocsApp is scaling rapidly in quest to help millions more.
What We Do?
DocsApp provides consultation services for patients of all age groups in several key disciplines
such as dermatology, gynecology, sexology, pediatrics, general medicine, psychiatry, weight management etc. Every user can avail transparent, tech-enabled, round-the-clock and multi-language services. Also, ordering medicines and booking lab tests is only a click away!
Funding
April 2016: $1.2 million was raised as seed funding from Facebook's angel investors Anand
Rajaraman and Venky Harinarayan, along with Japanese Venture Capital firm Rebright Partners.
Dec 2017: We then raised $7.2 million during Series A round of funding from Bessemer Venture
Partners (BVP), Japanese investors Techmatrix Corporation and DeNa networks. Existing angel
investors Anand Rajaraman, Venky Harinarayanan, and Japanese VC Rebright partners also
participated in this round. April 2019: $2 million in Venture Debt from Innoven Capital. May 2020: Raised Series B Funding for $9.5 million from Bessemer Venture Partners India, Fusian Capital, Rebright Partners and Milliways Fund LLC.

Roles & Responsibilities:
Build and manage REST API stack for DocsApp Mobile and Web Apps.
Architect Instant Messaging Engines.
Integrate with ML and NLP engines.
Build Chatbots.
Data analytics, User Analytics & App Analytics.
Build Web Applications & Dashboards.
DevOps, DBMS & Scaling on AWS.
Skills & Qualifications:
Have 1-6 yrs of experience with building backend applications.Web Apps & Analytics.
Experience in deploying applications at scale in production systems.
Experience in building and managing API endpoints for multimodal clients.
Enthusiasm to learn and contribute in a challenging & fun-filled startup.
Knack for problem solving and follow efficient coding practices.
BE/ Btech from tier 1 colleges
Javascript - NodeJS, Express JS, Sails.js
Python - Django
SQS, RabbitMQ, SNS
Databases/Datastores : Mysql , Redis, Memcache , Mongo DB
Logging : ELK, Cloudwatch
AWS : RDS, ECS, EBS, Cloudwatch, ELK, Redshift
Frontend : html , css , Javascript, React JS or Angular JS
Protocols : HTTP, XMPP, MQTT, Socket.io, TCP
Git
Perks:
Learning: As a fast paced startup, you get to learn fast.
Team: Get to work with an awesome team of Engineers, Data Scientists and Product Managers.
Mission: Get to see the impact of your work in helping millions of users get access to healthcare
Workplace - easy access & comfortable office, near heart of Bangalore @Diamond District, Indira Nagar [https://www.youtube.com/watch?v=k5stK6y6atY ]
Ownership - Individually responsible for the complete work.",
Angular/Web Full Stack Developer,"Pune, Maharashtra",Truein (Yugstart Technologies Pvt Ltd),None,Organic,"Truein is looking to fill tech roles.Someone who is proactive, quick learner and have go-getter attitude.We are a SaaS company with primary focus on visitors…",
Full Stack PHP Developer,"Surat, Gujarat",Zluck Solutions,None,Organic,Minimum 2 Years of experience in Full stack development Or any Frame Work.Understand existing web applications and customize it.Deliver on time with quality.,
Full Stack Web Developer,"Bengaluru, Karnataka",RP CLAN,"₹2,50,000 - ₹4,50,000 a year",Organic,"MEAN stack experience preferred (MongoDB, Express, Angular, Node.js, ReactJs, MYSQLI).We are looking for a qualified NodeJS and AngularJS/ReactJs Web…",
Full Stack .Net Developer,"Bengaluru, Karnataka",Valves Only,"₹5,00,000 - ₹10,00,000 a year",Organic,We are looking for a full stack .Net developer who can work for our canadian client from offshore.6+ years of experience developing applications in .NET.,
Full Stack Developer,"Noida, Uttar Pradesh",Sevenstar Websolutions,"₹15,000 - ₹35,000 a month",Organic,2+ years of experience as a Node.js Developer or backend developer.Integration of user-facing elements developed by a front-end developers with server side…,
Full Stack Developer,"Bengaluru, Karnataka",joulestowatts,"₹19,00,000 a year",Organic,"You will be successful in this role if you have: *.Computer Science/EE undergraduate degree, or demonstrated equivalent knowledge.Temporarily due to COVID-19.",
"Full Stack (Java,Spring) Developer_C2E_Corebanking","Hyderabad, Telangana",DBS Bank,None,Organic,"Need a strong application developer working hands on Java,Spring,JPA,Spring boot.This person is accountable for individual deliveries on the project without…",
Full Stack Developer,"Bengaluru, Karnataka",DocsApp,None,Organic,Build and manage REST API stack for DocsApp Mobile and Web Apps.Job Description - Full Stack Developer.Making quality healthcare easily accessible to over a…,
Full Stack Web Developer,"Hyderabad, Telangana",Pegasystems,None,Organic,"We're looking for a talented full stack Drupal developer to join our growing global team.You'll work with a diverse team of content creators, developers, and…",
"Software Engineer (Full Stack) - Bengaluru, India","Bengaluru, Karnataka",Teikametrics,None,Organic,"2-10 years of experience working as a professional software developer.Passion for working with a small team of world-class developers, solving challenging…",
Java + React Full stack/8+ Years/Pune,"Kharadi, Pune, Maharashtra",PROLIM Corporation,None,Organic,"We strictly need full stack developer with experience working in React JS, Redux, Core Java, Multi-threading.Java + React Full stack.",
Full stack Node Angular 8 React Mongo,"Bengaluru, Karnataka",Acesoft Labs,None,Organic,"In-depth knowledge of NodeJS, ExpressJS, Angular8 and MongoDB.Experience implementing applications using Angular 8 and ReactJS.",
Full Stack Web Developer (Minimum 3-7 yr exp.),West Bengal,RADIQ IMAGE INFORMATION SYSTEMS PRIVATE LIMITED,"₹3,00,000 - ₹7,00,000 a year",Organic,We are looking to hire for a full stack web developer/Front end and Backend Developer/PHP developer/web developer/react js developer/ node js developer/python…,
Full Stack Developer (Laravel & Angular),"Kochi, Kerala",Acube Innovations Private Limited,"₹45,000 - ₹60,000 a month",Organic,"Collaborate and work with mobile app developers on the backend needs of projects.APPLY ONLY IF YOU LOVE APPLICATION DEVELOPMENT and HAVE 4+ years of Laravel,…",
FULL STACK DEVELOPER,"Bengaluru, Karnataka",MyAnatomy,None,Organic,"Job Location :
Bangalore
Interview Location :
Bangalore
Job Description :
Translate user requirements into the overall architecture and implementation of new systems.
Manage Project and coordinate with the Client.
Write back-end code in any of these languages (Python/ Java, JavaScript (MERN stack)).
Writing optimized front end code HTML and JavaScript.
Efficient with any of the JavaScript frameworks like Angular JS, React JS, Vue JS, Node Js,
Database knowledge on SQL (MySQL, Oracle DB, PostgreSQL Sql), NOSQL (Mongo DB)
Understand, create and debug database related queries.
Create test code to validate the application against client requirement.
Monitor the performance of web applications & infrastructure.
Troubleshooting web application with a fast and accurate a resolution.
Eligibility Criteria :
Eligibility Criteria : Experiance 1-3 years
CTC :
NA
Selection Process :
Round – 1 Online Test:
Three Rounds - Technical, Sr. Manager & HR Round",
