,Title,Location,Company,Salary,Description
3078,Software Developer,India,FullStackTechies,500000-1000000,0 3 year india hour week 5 lac 10 lac inr position 5 no industry software software service functional area software application programming maintenance category programming design software developer employment full time fullstack techie fullstack techie part outsourcing provider inc usa started operation successfully delivered transformation project small medium enterprise customer across world focus serving company challenging key project require supreme attention fullstack techie consists top 10 developer world technical talent including software engineering design marketing professional fullstack techie created full stack techie entrepreneurial spirit serve growing company skilled experienced techie joined hand together hire c developer proven track record elite industry background rigorous comprehensive screening process screening process c developer technical screening depth technical skill review demonstrated involvement delivery problem solving analytical thinking creativity exceptionally result oriented talent language personality trait conduct internationally approved english language analytical test cambridge university qualify candidate test candidate able read write speak english extremely test includes personality trait one one interview mock test case project optional position 2 week 4 week hour live mock project mandatory candidate qualify deploying customer live project screening process candidate demonstrate depth technical competence professionalism integrity c developer longer wanted typical employee investor vested industry exceptional technical yes right place right explore fullstack techie key value proposition c developer eligible 2 3 time current emolument qualified fullstack developer hour per week hour per week option available remote done anywhere world fullstack techie serve growing company small medium large enterprise across world crucial c developer   c developer c developer c developer trained develop support application main scope project include everything back side code using optimal efficient technology framework pattern c developer primary  support design develop maintain enhance application therefore essential c developer trained problem solving solution design logical thinking high quality coding  c developer willing support delivering high quality application involve integrating front developer help writing test backed server side code analyzing requirement designing functionality supporting fixing existing functionality involve designing building application layer primary c developer trained willing c object oriented programming structure algorithm multi threaded programming stl template design pattern knowledge window vc windbg unix gdb dbx understanding agile methodology test driven software design pattern requirement c developer positive attitude outstanding written must comfortable technology system fullstack techie internal tool consistent focus make stake holder delightful help deliverable fullstack techie value proposition solid grasp solution centered approach must organized composed self motivated world class individual contributor thriving become collaborative nature leverage fullstack techie coder developer sme coe leadership deliver outstanding result customer
3083,Software Developer,India,M Tech Soft,360000-648000,qualification universal degree computer science mca btech mtech reputed university essential required acquired full time course 3 5 year hand sql server back designing developing implementing complex net system 3 2 year working live project   programmer responsible creation maintenance quality software application satisfy exceed business requirement provides application service complying current prescribed methodology key hand contributor software product life cycle performing analysis implementing software architecture design integration testing major minor maintenance release required extensive microsoft suite tool language specifically m sql net framework 3 5 higher c web service cs javascript reporting service xml xslt html5 jquery angular j bootstrap porting database redesigning normalization needed strong understanding database design working knowledge sql server net based distributed n tier system design across tier ui user interface tier win32 web interface bl business logic tier utilizing window web service dl layer tier including modeling normalization indexing high performance query optimization depth knowledge net infrastructure technology communicate across tier e net remoting msmq wcf vb 6 0 develop efficient documented code xml related technology write design document technical functional specification communicate effectively rest organization strong attention dedication completing time sensitive project preferred implementing working large enterprise resource planning erp application hospital management financial service industry knowledge given 3 5 mvc project must programming language technique net c xml xsl xsl fo soap mvc ooa ood oop uml 3 tier remoting design pattern domain model pattern mvc database design object relational mapping design implementation sql reporting server messaging javascript jquery html5 sql ssrs deliverable timely reporting coding analysis designing running unit test case per requirement generating test report root cause analysis report preparing technical approach document proposing timeline required task scheduling task organizing task execution familiarize latest technology trend able r requested task produce result given timeline able support member reach deadline able carry integration module perform integration testing tester fix bug flexible enough support operation basis project documentation adheres quality guideline adheres schedule k k ctc per 3 6lpa 6 5lpa
3092,Software Developer,India,Precise,420000-720000,  software engineer required technology solution provider financial industry located lowerparel profile seeking self motivated productive software developer developer multidisciplinary design creates user product client across globe developer participate full life cycle multi tier web application push design envelope interaction technology duty  design develop mission critical application developed using angular j net c javascript jquery html5 css3 web api etc modular mapping various business process develop high usability web interface manage complex interaction non technical user stage website maintenance conception design testing deployment simple documented code solve complex business problem member project manager customer requirement met per specification basic qualification requirement m b degree computer science related field least one year strong programming oo language like java c html xhtml cs javascript cs library jquery angular j backbone bootstrap database modelling design sql server strong 2 00 5 00 year bachelor degree
3095,Software Developer,India,Sai Ideal Softwares,180000-300000,2 year software using technology asp net technology like mvc entity frame added
3096,Software Developer,India,Sai Ideal Softwares,180000-300000,desired profile 2 year software using technology asp net vb net java script sql server web strong knowledge sql database mssql sql stored procedure sql etc uml object oriented programming oop object oriented design principle knowledge ajax jquery knowledge increase website performance knowledge leading edge net technology like mvc entity frame added advantage inr 1 000 3 00 000 p 1 yr fresher apply
3108,Software Developer,Indore,EndeavorITSolution,200000-400000,functional area industry software software service keywords technical product configuration design integration php mysql html c c javascript 1 discus requirement 2 contribute technical design progress meeting write 3 test version program code 4 test installation security compatibility issue 5 keep record process change result 6 review test result fix technical problem known bug 7 install full version software carry quality check going live 8 maintain support system running interested candidate apply updated resume mentioned detail mangal city mall mcdonald vijay nagar indore timing 10 00 5 pm person vaishali hr phone information kept according eeo guideline desired profile profile   na graduate qualification b tech specialization pg qualification pg course specialization either ug pg qualification
3111,Software Developer,Indore,Lise Infotech pvt ltd,100000-300000, python developer  include writing testing code debugging program integrating application third party web service using server side logic ultimately build responsive web application align business need  duty write effective scalable code develop back component responsiveness overall performance integrate user facing element application test debug program functionality existing system implement security protection solution ass prioritize feature request coordinate internal team user requirement provide technical solution key web scraping scripting api database sql nosql framework django flask ide jupyter notebook pycharm required qualification 6 month python developer least one popular python framework like django flask pyramid knowledge object relational mapping orm familiarity front technology like javascript html5 spirit problem solving full time 000 00 000 00 per year net 1 year preferred software 1 year preferred total 1 year preferred java 1 year preferred education secondary 10th pas preferred remotely temporarily 
3116,Software Developer,Jaipur,Protovo Solutions LLP,84000-180000,software developer zeal desire connect challenging  duty required key html cs j bootstrap php relevant framework plus programming degree studied knowledge database programming logic aptitude structure reasoning attitude passionate eager technology key html5 css3 mysql jquery javascript php web software fresher 7 000 00 15 000 00 php 1 year required javascript 1 year required education bachelor required remotely temporarily 
3117,Software Developer,Jaipur,Rams Creative Technologies,300000-400000,experienced javascript node j programmer knowledge oop design pattern asynchronous programming microservices concurrency transaction express j serverless amazon aws package manager npm yarn various relational nosql database mysql postgresql oracle mongo redis automated build test framework vcs git svn mercurial platform using nodejs express vuejs bootstrap mysql web based ide programming language using microservices nodejs delivering high availability performance contributing phase lifecycle ensuring design comply specification preparing producing release software component transforming requirement stipulation full time 000 00 000 00 year net 1 year preferred 1 year preferred total 1 year preferred java 1 year preferred education secondary 10th pas preferred remotely
3119,Software Developer,Jaipur,Visiontech Systems International LLC,240000-420000,must expert html5 css3 bootstrap5 candidate ui ux nuance user convert reality web welcome apply someone 2 3 year domain knowledge angular added qualification mca bsc full time 000 00 000 00 2 year preferred education bachelor required remotely temporarily 
3120,Software Developer,Jalandhar City,NapCloud India Pvt. Ltd.,360000-600000,different application domain design implement scalable manageable solution develop responsive front website architecture provide ongoing maintenance support enhancement existing system platform alongside engineer elevate technology consistently apply best practice provide recommendation improvement full time 000 00 000 00 software 1 year preferred total 1 year preferred c 1 year preferred education bachelor required remotely temporarily 
3121,Software Developer,Kanpur,Tech Soft Labs,96000-300000,must developer fresher software based requirement write test maintain debug code elastic search developer existing code
3127,Software Developer,Kochi,Renfos Technologies Pvt. Ltd.,240000-720000,php 5 x php 7 x mysql javascript jqeury laravel codeigniter similar mvc framework understanding front technology like html5 cs ajax json bootstrap javascript framework angularjs reactjs vuejs added knowledge object oriented programming creating database schema represent support business process proficient understanding code versioning tool git mercurial svn working agile scrum process cloud technology deployment service plus amazon web service microsoft azure google cloud platform type full time 000 00 000 00 per software 2 year preferred total 2 year preferred education bachelor preferred licence core php preferred programming language needed python preferred remotely temporarily 
3128,Software Developer,Kochi,Taizen Technologies PVT LTD,480000-720000,net c vb net entity framework linq wcf xaml telerik xml json soap rest webservices m sql crystal report ssrs report javascript jquery ajax typescript bootstrap material ui bootstrap 4 flex layout grid html5 css3 adroid app added 000 00 000 00 per 1 year preferred c 6 year preferred education bachelor preferred remotely
3129,Software Developer,Kolkata,24online Info Technologies Private Limited,720000-840000,skill requirement must strong knowledge core java v1 7 thread servlet jsp must strong knowledge spring framework using xml annotation rest must knowledge hibernate postgres sql must basic knowledge design pattern application architecture must domain knowledge network telecom added must least 4 6 year mentioned domain academic qualification requirement b e e b tech tech bca mca b sc sc detail criterion 1 ctc 7 2 l 8 4 l per annum fixed offered criterion 2 hike exceed present package information kolkata however must open travel ahmedabad entire sitting must aadhar card pan card transparent policy hidden bond must go http 24onlinebilling appearing interview candidate basic idea product expected start date 1 7 type full time walk 000 00 000 00 year spring framework 4 year required hibernate postgres sql 2 year preferred total 6 year preferred core java v1 7 4 year required education bachelor required required document aadhar card required remotely temporarily 
3134,Software Developer,Kolkata,Yashujee india Automation,360000-720000,software developer high knowledge c java python ai mysql php type full time part time 000 00 000 00 per total 3 year preferred jsp 3 year preferred java 4 year preferred education bachelor preferred licence java se 7 programmer preferred benefit home flexible hour industry operation helpdesk remotely yes
3135,Software Developer,Kolkata,Yashujee india Automation,360000-720000,software developer high knowledge c java python ai mysql php type full time part time 000 00 000 00 total 3 year preferred jsp 3 year preferred java 4 year preferred education bachelor preferred licence java se 7 programmer preferred benefit home flexible hour industry operation helpdesk remotely yes
3136,Software Developer,Kollam,Zewia software private limited,60000-120000,  passionate software engineer fresher design develop install software solution develop flowchart layout documentation identify requirement solution write designed testable code required profile fresher self financed training included monthly provide junior required python java php net demonstrated knowledge web technology html cs javascript independently type full time fresher 5 000 00 10 000 00 type full time fresher 5 000 00 10 000 00 selection round written test hr interview technical interview industry software
3137,Software Developer,Kota,Kappa Internet,200000-400000,functional area industry hardware networking keywords python six sigma net html javascript sql oracle assembly language real time operating system sr software developer see profile marketer 1 see profile apply opening desired profile profile   na graduate qualification b tech specialization pg qualification either ug pg qualification
3139,Software Developer,Lucknow,ARDEM Data Services Private Limited,250000-500000, brand rapidly growing time production enthusiastic asp net mvc developer fit excited evaluate manage maintain quality project ardem service part based service experiencing rapid working many notable large company provide specialized boutique outsourcing business automation solution abroad client include fashion mogul pop client household name brand company come true partner help grow long term capacity person production help provide client white glove desire  duty software application developer take customer process requirement related collection management business process automation design achieve workflow improvement excel strong knowledge asp net strong knowledge asp net core architecture proficient c strong understanding object oriented programming skilled writing reusable library strong microsoft sql server knowledge writing readable easily maintainable code analytical system analysis design design code web window form using microsoft visual studio net interest working machine learning artificial intelligence robotic process automation technology knowledge java javascript c xml python asp net mvc asp net core able troubleshoot modify application design per requirement database knowledge writing stored procedure using sql server able write code develop application based upon problem statement english comprehension fluent spoken written english based customer hence english must able independently complete assignment accuracy per schedule qualification functional area software software programming application web programming cloud technology software application programming web application programming key phrase application developer software developer programming coding asp net core net 4 7 developer asp net mvc asp net core developer sql visual studio java cs python net developer net developer asp net software developer asp net core version 2 0 2 1 3 0 3 1 knowledge knowledge database application knowledge side web technology understanding oop object oriented programming proficiency c bootstrap material design css3 html 5 jquery java script node j angular vue j typescript knowledge m microsoft sql server dependency injection routing linq entity framework web api wcf mvc eligibility btech mtech mca english comprehension fluency spoken written english available night shift 5 day working benefit like software technology challenge mind like prime office lucknow like exceptional professional come talk rapidly growing lucknow come grow full time 000 00 000 00 per year net core 2 year required c 3 year preferred education bachelor preferred lucknow uttar pradesh preferred language english required remotely temporarily 
3142,Software Developer,Lucknow,Diptimate Consultants Private Limited,180000-360000,dot net developer mvc latest frame cs html understanding knowledge full time 15 000 00 000 00 per net mvc 2 year preferred benefit paid leaf leave encashment phone internet reimbursement shift allowance industry software remotely
3144,Software Developer,Lucknow,XRM Labs Pvt LTD,96000,xrm lab pvt ltd developer 0 year fresher lucknow office technology preferred experienced candidate asp net javascript preferred sql server skill required javascript asp net 8 000 00 full time 8 000 00 education bachelor preferred
3153,Software Developer,Mohali,Webdew Private Limited,480000-600000,love building scalable web mobile application meet rapidly changing business need best web application practice like writing code integration deployment important consistently researching reading current technology enjoy making meaningful decision enable build effectively believe developer take leading designing architecting building testing product generalist full stack engineer excited developing cool interesting feature experienced involved day day operation web application extensive knowledge mongodb express reactjs react native nodejs linux server aws  provide insight web strategy spanning web product analytics testing automation build modern web architecture enable ship feature production scale implement logging collection storage architecture support appetite driven insight web project backend frontend variety technical challenge require creativity box thinking deployment release process directing system testing validation procedure directing software programming documentation consulting management project status proposal working management technical issue including software system design maintenance analyzing information recommend plan install modification existing system consulting management evaluate software hardware interface develop specification performance requirement designing developing software system using scientific analysis mathematical model predict measure outcome design consequence preparing report programming project specification activity status software developer requirement bachelor degree computer science related degree deep knowledge mern stack software life cycle desire high pressure fast paced must full stack developer concept software engineering full time 000 00 000 00 3 year preferred education bachelor preferred language english required remotely yes
3156,Software Developer,Mumbai,Missionmind IT Services,750000-1200000,full time open one mnc customer located india must c c project unix able build enhance simple sql query cursor function oracle pro c related added hand unix shell scripting additional plus business requirement convert requirement technical specification develop unit test code per technical specification perform integration testing stream module able independently complete assigned without depending member day day task full time 000 00 1 000 00 per year c c pro c 2 year required total 4 year required education bachelor required remotely temporarily 
3158,Software Developer,Mumbai,Angel Broking Limited,200000-300000,functional area industry banking financial service broking keywords troubleshooting database research database administration primary  include owning tracking resolvingdatabase related incident request responding database relatedalerts working research team implementstrategic solution troubleshooting resolving database issue providing support 24x7 rotational shiftsescalate issue time teamwork dba task assigned desired profile profile   na graduate qualification b tech specialization pg qualification either ug pg qualification
3160,Software Developer,Mumbai,Invogue,18000-25000,familiar web etc video chat framework adding image video ongoing screen share additional knowledge web plus 2 3years full time 18 000 00 000 00 year net 1 year preferred c 2 year preferred total 2 year preferred java 2 year preferred education secondary 10th pas preferred industry software
3162,Software Developer,Mumbai,Mystro,300000-500000,1 2 year full stack coding javascript python server based programming language real world web framework like django developing rest apis 2 least one popular python framework like django flask pyramid familiarity front technology like javascript html5 restful service full time 000 00 000 00 per year total 2 year preferred python 2 year required education bachelor preferred remotely temporarily 
3164,Software Developer,Mumbai,Oriflamme it solutions,180000-420000,oriflamme solution php developer wordpress developer coding database design analytical approach must deliver project alone help programmer candidate must communicate house cross department member sound knowledge core php laravel wordpress latest technology sound knowledge php working e commerce php woo commerce website api integration integration payment gateway custom module requirement cs j knowledge coding cake php laravel zend plus written verbal full time 15 000 00 000 00 net 1 year preferred 1 year preferred total 1 year preferred java 1 year preferred education secondary 10th pas preferred remotely yes
3166,Software Developer,Mumbai,Sreya Bhattacharya (Proprietor of Mobbitt),360000-720000, duty â responsible developing software product per requirement â responsible delivering software product time quality â responsible understanding given task reporting back regularly â responsible querying database database related code â responsible fixing existing bug software system without impact â responsible unit testing given task make sure developed functionality working fine module â responsible documenting various document fall sdlc â responsible testing entire software system report track bug listed â responsible involving designing testing phase required profile qualification â bachelor masterâ degree preferably b e b tech bca mca b sc equivalent â similar profile preferred however fresher apply â verbal written â understanding conveying â knowledge logical analytical interview process 1 information verification screening 2 preliminary hr round 3 technical round 4 hr round 3 lpa â 7 lpa full time 0 1 year fresher apply remote anywhere india interested resume hr mobbitt important note whitelist hr mobbitt contact miss email email 1 2 week select profile check spam promotion tab 2 week time 0 00 1 00 year bachelor business administration b b master technology tech e sc bachelor technology b tech b e master computer application c bachelor computer application b c master business administration b
3167,Software Developer,Mumbai,Sreya Bhattacharya (Proprietor of Mobbitt),360000-720000,â responsible delivering software product time quality â responsible developing software product per requirement
3168,Software Developer,Mumbai,Stellar Value Chain Solutions,300000-500000,net developer analysis design programming maintenance microsoft net understanding window application developing web based application interested candidate mail mentioned full time 000 00 000 00 year net 1 year preferred total 1 year preferred java 1 year preferred c 1 year preferred education secondary 10th pas preferred remotely temporarily 
3171,Software Developer,Mumbai,Vataliya Gautam J ( Proprietor of The Best Service...,1500000-2000000,â module per custom framework organization â review source code coding performance issue committed developer strict adherence coding standard â involve identifying root cause issue reported qa production â scalability performance optimization related r required critical module â interact project support functionality requirement part solution design activity â enhancement existing product framework using object oriented programming concept â understanding object oriented programming concept knowledge practical application concept software product â knowledge asp net mvc framework web service jquery angular net core â m sql stored procedure sql query optimization â knowledge automation tool used software 1 00 8 00 year master computer application c bachelor computer application b c
3172,Software Developer,Mumbai,Zen&Art Inc.,700000-3000000,must strong hand design core java application spring framework analyze user requirement envision system feature functionality prepare functional technical specification build high performance reference store trading system interface developer business user preform proof concept area support improvement automated system participate aspect sdlc analysis design coding testing implementation able fast paced dynamic full time 000 00 3 000 000 00 per year software 4 year required total 4 year required jsp 4 year required education bachelor required licence java se 7 programmer preferred
3173,Software Developer,Mumbai,Zen&Art Inc.,700000-3000000,must strong hand design core java application spring framework analyze user requirement envision system feature functionality prepare functional technical specification build high performance reference store trading system interface developer business user preform proof concept area support improvement automated system participate aspect sdlc analysis design coding testing implementation able fast paced dynamic full time 000 00 3 000 000 00 year software 4 year required total 4 year required jsp 4 year required education bachelor required licence java se 7 programmer preferred
3175,Software Developer,Mysore,SVG Placements,480000-600000,required c net framework net core wpf mvvm visualization large set preferred asp net mvc mssql mysql entity framework mvc web api linq html5 css3 javascript jquery ajax software lifecycle sdlc agile methodology angular added presentation qualification graduate post graduate computer science related degree 3 year preferred type full time walk 000 00 000 00 per net 3 year preferred software 3 year preferred java 3 year preferred education bachelor required remotely
3182,Software Developer,Navi Mumbai,smart4talent,300000-350000,associate software engineer qualification b e mca bca b sc 1 2 yearskill competence 1 general programming 2 knowledge net knowledge object oriented programming  verbal written 5 self driven player ready adapt dynamic  1 participate project delivery correct quality use related solution required 2 perform necessary coding unit testing write test procedure perform test depending role defined test engineer developer 3 designing small module coding debugging application various software language 4 lead graphic artist designer peer developer different project 5 analyzing assigned project requirement norway 6 carry object oriented design analysis part requirement project part module 7 carry front graphical user interface design part requirement project part module 8 conduct software testing quality assurance part requirement project part module 9 conduct performance tuning improvement balancing usability automation part requirement project part module 10 support maintain document software functionality project part module 11 evaluate identify technology implementation project part module 12 test program logic syntax correct program result assist lower programmer programming assignment 13 design unit test part test driven 14 effectively team group inside formal line authority accomplish technical functional organizational goal interested apply feel free email inquiry clarification
3183,Software Developer,Navi Mumbai,Intelact Business Solutions,250000-350000,vb6 developer 1 year navi mumbai 2 5 lac 3 5 lac candidate must hand 1 vb6 2 crystal report 3 sql2000 server knowledge 2 lac thousand 3 lac thousand p industry software application programming maintenance 1 4 year qualification bachelor degree key vb6 programming vb6 vb6 sql2000 server crystal report profile name ibs hr consultancy email id intelact17 gmail
3184,Software Developer,New Delhi,Broadcast Engineering Consultants India Limited (B...,1200000,application invited empanelment following manpower purely basis deployment government office hyderabad
3190,Software Developer,New Delhi,Snaphunt Pte Ltd,600000-1200000,offer platform strengthen healthcare industry opportunity collaborative stimulating employer dedicated platform give patient complete hassle free healthcare assistance one stop platform franchise store healthcare need enabling patient book consultation order prescribed medicine easily responsible writing designed testable efficient code gathering evaluating user feedback working part dynamic deliver winning product providing code documentation input technical document supporting improvement investigating alternative technology presenting architectural review troubleshooting debugging optimise performance profile posse degree diploma computer science engineering related field least 2 year software engineer similar posse strong knowledge python django knowledge mysql postgresql database goal driven fast paced environment adaptable thrive changing environment strong player manage multiple stakeholder ref full time 000 00 000 00
3192,Software Developer,New Delhi,TellZen,Title,tellzen belief exceptional team important one early member opportunity part growing remote usa hq germany remote india remote hard working competitive self motivated individual exceeded similar role want grow fast paced growing organization   prerequisite joining simple care attitude aptitude specific tool technology used past strong software must take pride coding analytical complex modular software collaborative remote based addition leg meet following criterion hand programming major programming framework working restful web service api one following relational database sql server mysql oracle javascript angular knowledge nodejs framework puppeteer selenium plus  design build front application package product opensource window building reusable component front library future use execute contribute full stack web project emphasis front feature browser manipulation cross browser compatibility source code repository like git develop software component web api texting chat communication mechanism review analyze resolve existing problem come system programming assignment accordingly collaboration member sharing  mentor member critical part product working knowledge javascript angular node j mysql working knowledge developing multiple page application knowledge modern authorization mechanism json web token oauth2 involved writing application code interact apis restful web service using ajax json soap knowledge utilizing cloud technology including amazon web service aws version control using git worked scrum agile convert design specification software application strong presentation documentation prototype refine system test analyze performance test debug application secure coding principle practice writing english bachelor degree equivalent training 4 10 year full time node j 3 year required mysql 3 year required language english required shift evening preferred industry software remotely yes
3194,Software Developer,Noida,CAAIM PVT LTD,156960-180000,full stack developer complete sdlc excel vb understanding type full time part time pay 00 000 00 per year total 1 year preferred full stack 1 year preferred education diploma preferred industry education instruction remotely yes
3197,Software Developer,Noida,Global Excell Interactive Software Pvt. Ltd.,177708-611748,strong knowledge net window desktop programming framework strong understanding sdk api strong understanding object oriented programming skill writing reusable library type part time pay 14 00 00 per net 10 year preferred total 10 year preferred c 10 year preferred html 10 year preferred education master preferred industry operation helpdesk remotely
3202,Software Developer,Noida,Pluswealth Capital Management LLP,360000-1200000,dear seeker  opening profile c developer find jd c developer financial trading platform desired skill working knowledge large scale c based multi threaded application familiar object oriented design various design pattern knowledge debugger like gdb others knowledge algorithm structure developing financial trading platform algorithm plus preferred knowledge interest share portfolio trading indian capital market  architecting designing developing different module software product using c contribute design implementation product product enhancement defect resolution qualification combination education training equivalent possession bachelor degree demonstrates perform duty  described coursework computer science information system related interview mode online 1 7 year software developer keyskills c oops ipc stl multi threading linux unix interested share resume regard hr dept type full time volunteer 000 00 1 000 00 per year 1 year preferred total 1 year preferred c 1 year preferred education secondary 10th pas preferred remotely temporarily 
3204,Software Developer,Noida,Relcube India Pvt Ltd.,25000-50000, developing deploying maintaining php based web application solution back service interchange server user understanding structure algorithm two year web expert php javascript extensive designing modular skilled object oriented programming basic understanding ui design emphasis maximizing usability 2 4 year required html cs bootstrap javascript core php php framework codeigniter laravel must proficient api sector noida full time 000 00 000 00 year full time total 2 year preferred laravel 1 year preferred education bachelor preferred licence core php preferred
3210,Software Developer,Panchkula,Good Learning Pvt Ltd,240000-300000,full stack backend developer rest api design node j php angular j payment gateway integration database management understanding analytics web analytics direct response marketing measurement traditional marketing metric key performance indicator combining implementing analytical creative problem solving technique approach attention quality output fast paced bachelor degree equivalent b tech bca mca mathematics computer science statistic related field reputed college 2 5 year k full time software 2 year preferred total 5 year preferred education master preferred
3211,Software Developer,Panipat City,M/s Veenus Engineering. (sandeep.veenus@gmail.com)...,180000-300000,dear candidate opening veenus engineering female software developer panipat district haryana candidate knowledge 3 year want build handsome apply seeking hire skilled software developer help current project duty primarily revolve around building software writing code modifying software fix error adapt hardware performance upgrade interface involved directing system testing validation procedure working customer department technical issue including software system design maintenance extensive knowledge programming language software life cycle bachelor degree computer science related degree required software developer  modifying software fix error adapt hardware performance upgrade interface directing system testing validation procedure directing software programming documentation designing developing software system using scientific analysis mathematical model predict measure outcome design consequence full time full time 15 000 00 000 00 type full time 15 000 00 000 00 net 3 year preferred software 3 year preferred total 3 year preferred java 3 year preferred education bachelor preferred
3217,Software Developer,Pune,AMCAT,180000-240000,  technomatix striving give technology based solution small business upgrade customer step aligned goal relationship delivery product provide 7 support onsite visit whenever required take pride keeping cost service affordable small business website http technomatrix co pune desired 0 1 year course specialization b e b tech c b sc sc target batch training period 3 month training period inr per training period inr 1 8 lpa inr 2 4 lpa final ctc depend upon performance interview discretion tentative date interview communicated post registration window closed tentative date joining immediate shortlisted candidate sent admit card letter registered mail id carry date interview entertained without formal intimation aspiring mind   complete module front angular bootstrap jquery back service net core php java  duty daily min 8 hour onsite home per performance daily 2 training session scrum probation period presentation progress skill required php codeignitor net c c angular ionic wordpress interview process telephonic round video interview education b sc b tech b e sc tech 0 1 year 1 8 2 4 lpa industry insurance
3219,Software Developer,Pune,Appristine Technology,240000-600000,appristine technology based pune offer exciting working along attractive remuneration deserving candidate currently hiring following universal window programmer 2 yr uwp exp must website appristine pune full time 000 00 000 00 uwp developer 2 year required language english required industry software remotely temporarily 
3224,Software Developer,Pune,CNV labs & Technologies Pvt. Ltd.,300000-500000,  php developer pune bangalore hyderabad telengana role  key develop high scalable application software product using core object oriented php laravel object oriented framework mysql ajax angular 5 involved complete system life cycle responsible automating system process developing software product must passionate develop application php sql must hardworking quick learner proficient ajax erp product php mysql database design life cycle passionate hard working develop software quick learner core php laravel mysql educational qualification bca mca b tech b e computer telecommunication diploma key php angular angularjs laravel mysql r 3 00 000 r 5 00 000 p address cnv lab technology pvt ltd icloudems full time 000 00 000 00 per year 1 year preferred php 1 year preferred laravel 1 year preferred education diploma preferred remotely yes
3236,Software Developer,Pune,Intellection Software & Technologies Pvt. Ltd.,400000-800000,functional area industry keywords javascript html jquery open source web bootstrap cs html javascript software developer full stack 0 1 year preferably fresher qualification graduate post graduate engineering mca exposure full stack web condition min 10th 12th required skill exp html cs bootstrap javascript jquery apis knowledge google dialogflow nodejs expressjs reactjs eager diverse open source technology interest creating conversational chatbots desired profile profile   na graduate qualification pg qualification pg course specialization either ug pg qualification
3237,Software Developer,Pune,Maestro Intellect Pvt Ltd,60000-120000,name
3244,Software Developer,Pune,"Multiple clients from Europe, UAE & USA",96000-180000,write web based application php framework ci laravel  duty write web based application php framework ci laravel type industry software 
3245,Software Developer,Pune,Network Components Private Limited,250000, â developer ba client design build feature â advice collaborate synthe feedback ux designer qa engineer â produce semantic html cs agonizing along way pixel perfection along javascript code cross browser compatibility 0 00 1 00 year
3246,Software Developer,Pune,One Network Enterprises,70000, java developer member product one network enterprise participate phase software lifecycle including requirement analysis design implementation testing developer expected take ownership significant portion product technical perspective guide developer implementing feature enhancement essential function write code unit test build deployment script author design document participate design review mentor programmer participate code review troubleshoot support production system required education b m engineering computer science supply chain 5 10 year software strong object oriented programming working knowledge design pattern structure algorithm strong analytical problem solving extensive knowledge java programming language familiarity j2ee technology relational database preferably oracle verbal written interpersonal system implementation requirement process analysis conceptual detailed design configuration testing training management support prior consulting enterprise software vendor plus functional knowledge supply chain logistics order management etc plus range doe report
3248,Software Developer,Pune,Plus91 Technologies Pvt Ltd,180000-300000, duty plus91 software developer software  logical module pre existing platform contribute independent module use developer prepare technical documentation presentation build release production stack weekly basis provide resolution technical issue qualification required qualification b e b tech computer science engineering mca least year building web application using php mysql spoken written english sound knowledge frontend technology including html5 javascript css3 knowledge object oriented programming paradigm write documented structured maintainable code integrate application third party service using rest apis format like json xml technology start taking  preferred knowledge recognized php mvc framework knowledge side framework working popular third party apis knowledge git subversion knowledge linux benefit benefit working plus91 competitive allows creativity fun pleasant working enthusiastic friendly team possibility take  full time 15 000 00 000 00 per html5 1 year preferred php 1 year preferred javascript 1 year preferred education bachelor preferred benefit health insurance provident fund pf paid leaf leave encashment flexible hour phone internet reimbursement shift allowance industry software remotely temporarily 
3249,Software Developer,Pune,Plus91 Technologies Pvt Ltd,180000-300000, duty plus91 software developer software  logical module pre existing platform contribute independent module use developer prepare technical documentation presentation build release production stack weekly basis provide resolution technical issue qualification required qualification b e b tech computer science engineering mca least year building web application using php mysql spoken written english sound knowledge frontend technology including html5 javascript css3 knowledge object oriented programming paradigm write documented structured maintainable code integrate application third party service using rest apis format like json xml technology start taking  preferred knowledge recognized php mvc framework knowledge side framework working popular third party apis knowledge git subversion knowledge linux benefit benefit working plus91 competitive allows creativity fun pleasant working enthusiastic friendly team possibility take  full time 15 000 00 000 00 html5 1 year preferred php 1 year preferred javascript 1 year preferred education bachelor preferred benefit health insurance provident fund pf paid leaf leave encashment flexible hour phone internet reimbursement shift allowance industry software remotely temporarily 
